,vocab,meaning
3012,forestall,"vt.先…一步行动,占先一步,垄断,阻碍 "
3013,dire,"a.可怕的,悲惨的,阴惨的,极端的 "
3014,intrepid,"a.无畏的,勇猛的,豪勇的 "
3015,diffidence,"n.无自信,内向,羞怯 "
3016,inviolable,"a.不可亵渎的,不可侵犯的,神圣的 "
3017,flora,n.植物群 
3018,indictment,"n.起诉,控告,起诉状 "
3019,finagle,"v.欺骗,哄骗,欺瞒 "
3020,winnow,"vt.吹开糠皮,精选vi.扬谷,分出好坏,飞行 "
3021,unseen,"a.未见过的,看不见的 "
3022,gall,"n.胆囊,胆汁,磨损处,恼怒vt.烦恼,屈辱,磨伤 "
3023,derogate,"v.贬损,毁损 "
3024,ineffable,"a.无法形容的,说不出的,不应说出的,避讳的 "
3025,flaunt,"n.炫耀,飘扬vi.vt.炫耀,飘扬 "
3026,sternly,"ad.严格地,严肃地,严厉地 "
3027,indisputable,"a.无争论之余地的,明白的 "
3028,infallible,"a.绝无错误的,绝对可靠的n.一贯正确的人 "
3029,empiric,"n.经验主义者,江湖医生 "
3030,sincerity,"n.诚实,真实,诚心诚意 "
3031,interrogation,"n.审问,问号 "
3032,merriment,"n.欢喜,嬉戏 "
3033,covert,"a.隐蔽的,偷偷摸摸的,隐秘的n.树丛,隐藏处 "
3034,beneficiary,"n.受惠者,受益人a.受封的 "
3035,archaic,"a.已废的,古老的,古代的 "
3036,deliberate,"a.深思熟虑的,故意的,从容的v.仔细考虑 "
3037,precipitous,"a.陡峭的,急躁的 "
3038,meditation,"n.沉思,冥想 "
3039,inhibit,"vt.禁止,抑制vi.有禁止力 "
3040,engage,"vi.答应,从事,交战vt.使忙碌,雇佣,使参加 "
3041,hilarity,"n.欢闹的心情,欢喜,高兴 "
3042,encumbrance,"n.阻碍,妨害物,累赘 "
3043,alter,v.改变 
3044,rancor,"n.敌意,深仇 "
3045,rescind,"vt.废止,使无效,解除,撤销,取消 "
3046,rapturous,"a.兴高采烈的,狂喜的,欢天喜地的 "
3047,obtrusive,"a.强迫人的,冒失的,莽撞的,伸出的 "
3048,obdurate,"a.顽固的,执拗的,冷酷的 "
3049,symbolize,"v.象征,用符号表现 "
3050,enthrall,"vt.迷惑,奴役,迷住 "
3051,indignant,"a.愤怒的,愤慨的 "
3052,retentive,"a.保持的,有保持力的,记性好的 "
3053,bane,"n.毒药,灭亡的原因,灭亡,祸根 "
3054,defer,"vi.推迟,延期,听从vt.使推迟,使延期 "
3055,forerunner,n.先驱 
3056,opposition,"n.反对,敌对,相反,在野党 "
3057,villainous,"a.坏人似的,恶棍的,恶毒的,缺德的 "
3058,belie,"vt.掩饰,与…不符,使失望 "
3059,convention,"n.大会,协定,惯例n.约定 "
3060,relegate,"vt.命令撤离,驱逐,把…归类,使降低地位 "
3061,unequivocal,"a.不含糊的,不模棱两可,明白的 "
3062,vicarious,"a.代理的,担任代理的,替身的 "
3063,brutality,"n.残忍,无慈悲,野蛮的行为 "
3064,tangential,"a.切线的,相切的,正切的,肤浅的,离题的 "
3065,vitiate,"vt.使腐败,污染,使失效,败坏 "
3066,surmise,"n.推测,猜测v.推测,臆测 "
3067,customization,"n.用户化,专用化,定制 "
3068,rapport,"n.关系,同意,一致 "
3069,trove,"n.被发现的东西,收藏的东西 "
3070,dissolute,"a.放荡的,风流的 "
3071,tropical,"a.热带的,热情的 "
3072,legitimate,"a.合法的,正当的,婚生的vt.认为正当,使合法 "
3073,elaborate,"a.精细的,详尽的vt.详细地说明,推敲vi.变复杂 "
3074,loner,"n.孤独的人,不合群的动物 "
3075,hesitation,"n.暂停,犹豫,口吃,含糊,踌躇 "
3076,dumbfound,vt.使惊呆；使人惊愕失声 
3077,devious,"a.偏僻的,迂回的 "
3078,aesthetic,"a.美学的,审美的,有美感 "
3079,voracious,"a.狼吞虎咽的,贪婪的 "
3080,seclude,"vt.使隔离,使孤立,隔开 "
3081,synergistic,"a.(药物等)配合作用的,协助作用的 "
3082,eventuality,"n.不测的事,可能发生的事,可能性 "
3083,relocate,"vt.重新安置,再配置,放在新地方 "
3084,circumspection,"n.细心,慎重 "
3085,altruistic,"a.利他的,无私心的 "
3086,decorative,a.装饰的 
3087,avarice,"n.贪财,贪婪 "
3088,relinquish,"vt.放弃,撤回,让与,放手 "
3089,derail,"vt.使出轨n.出轨,脱轨器 "
3090,muddle,"vt.混合,使微醉,使咬字不清vi.胡乱对付n.困惑 "
3091,garnish,"n.装饰,装饰品vt.装饰 "
3092,validate,"vt.使有效,使生效,确认,证实v.验证 "
3093,reproduce,"v.繁殖,再生,复制,生殖 "
3094,quell,"vt.压制,平息,减轻 "
3095,nihilistic,"a.虚无主义的,无政府主义的 "
3096,cooperation,"n.合作,协力,合作社 "
3097,plaudit,"n.拍手喝彩,称赞,赞美 "
3098,sanction,"n.核准,处罚,约束力vt.认可,核准,同意 "
3099,comprehensive,"a.全面的广泛的,有理解力的,包容力大的 "
3100,baneful,"a.有害的,使人苦恼的 "
3101,suggestive,"a.提示性的,影射的,暗示的 "
3102,expropriate,"vt.剥夺,没收,征用 "
3103,cryptic,"a.秘密的,神秘的,含义模糊的,隐藏的 "
3104,superfluous,"a.多余的,过剩的 "
3105,daunt,"vt.威吓,难倒,使气馁 "
3106,expedient,"n.权宜之计,临时手段a.权宜的,方便的,有用的 "
3107,hostility,"n.敌意,敌对,反对 "
3108,capitulate,vi.有条件投降 
3109,durability,"n.耐久性[力],持久性[力],坚牢 "
3110,pedantry,"n.假装学者,卖弄学问,炫学 "
3111,conformist,"n.遵奉者,英国国教徒 "
3112,reticence,"n.无言,沉默,谨慎 "
3113,harmonize,"vi.协调,以和声唱vt.使一致,使和谐 "
3114,enthusiastically,"ad.热心地,狂热地 "
3115,venality,"n.唯利是图,为金钱,甘受贿赂 "
3116,depersonalize,vt.⑴使…不具人格;⑵使…没个性 
3117,obsequious,"a.谄媚的,奉承的,顺从的 "
3118,colloquially,"ad.用白话,用通俗语 "
3119,exhilarate,"vt.使高兴,使愉快 "
3120,personality,"n.个性,人格,名人 "
3121,fraudulent,"a.欺诈的,不正的,不诚实的 "
3122,redemptive,"a.赎回的,买回的,赎身的 "
3123,repudiate,"vt.离婚,抛弃,拒绝履行,拒付,拒绝 "
3124,questionable,a.可疑的 
3125,preeminence,"n.杰出,卓越,超群 "
3126,progenitor,"n.祖先,先辈,原著 "
3127,demolish,"vt.毁坏,破坏,粉碎 "
3128,avert,"vt.转开,避免,防止 "
3129,rearrange,"vt.再排列,重新整理 "
3130,precipitate,"n.沉淀物vt.猛抛,使陷入,促成,使沉淀a.突然的 "
3131,mercurial,"a.神的,水星的,水银的,活泼的n.水银剂 "
3132,prominence,"n.突起,突出,凸出,突出物 "
3133,consummate,"vt.完成,使达到极点a.无上的,至上的,完美的 "
3134,confusion,"n.混乱,混淆,无秩序 "
3135,tenuous,"a.稀薄的,微细的,纤细的,脆弱的 "
3136,prodigious,"a.很大的,惊人的,异常的 "
3137,undaunted,"a.大无畏的,勇敢的 "
3138,incandescent,"a.白热的,发白热光的,辉耀的,灿烂的 "
3139,mediate,"a.居间的,间接的vt.斡旋,调停vi.调解 "
3140,revise,"n.校订,修正,再校稿vt.校订,修正,校正 "
3141,sensation,"n.感觉,感情,感动 "
3142,dismay,"n.沮丧vt.使惊愕,使气馁 "
3143,mythical,"a.⑴神话的,神话中的⑵如神话的,虚构的 "
3144,successor,"n.继承者,接任者 "
3145,absurdity,"n.荒谬,悖理,荒谬的事 "
3146,instigate,"vt.教唆,怂恿,煽动 "
3147,inclination,"n.倾向,意愿,倾斜度,点头 "
3148,corrosive,"a.腐蚀的,腐蚀性的,蚀坏的n.腐蚀物,腐蚀剂 "
3149,solvent,"n.溶剂a.有偿付能力的,有溶解力的 "
3150,audacious,"a.大胆的,无礼的,无耻的 "
3151,precipitate,"vt.使沉淀,促成,猛抛,使陷入a.急促的n.沉淀物 "
3152,extant,"a.现存的,未毁的 "
3153,effrontery,n.厚颜无耻 
3154,momentary,"a.瞬间的,刹那间的 "
3155,forfeit,"n.没收物,罚金,丧失vt.没收,丧失a.丧失了的 "
3156,seep,"vi.渗出,渗流,漏n.小泉,水陆两用的吉普车 "
3157,indifference,"n.不重视,无兴趣,漠不关心 "
3158,verisimilitude,"n.好像真实,似真,逼真 "
3159,lassitude,"n.疲倦,疲乏,无精神 "
3160,esoteric,"a.秘教的,奥秘的,秘传的 "
3161,defective,"a.有缺陷的,欠缺的n.不完全变化动词 "
3162,abstruse,"a.难解的,深奥的 "
3163,elate,"vt.使兴高采烈的,使得意 "
3164,depreciatory,"a.⑴减价的,下跌倾向的,走下坡的⑵轻视的, "
3165,filial,"a.子女的,当作子女的,孝顺的 "
3166,picayune,"n.小钱币,五分钱币a.无聊的,不值钱的 "
3167,bellicose,"a.好战的,好斗的 "
3168,apologetic,"a.道歉的,认错的,辩护的 "
3169,ebb,"n.退潮,衰退vi.潮退,衰退 "
3170,concoct,"vt.混合而制,调和,捏造,编造 "
3171,erode,"vt.腐蚀,侵蚀vi.受腐蚀 "
3172,experimental,"a.实验的,根据实验的 "
3173,informal,"a.非正式的,不拘礼的,通俗的 "
3174,repentance,"n.后悔,悔改 "
3175,narcissism,"n.自我陶醉,自恋 "
3176,misrepresent,"vt.误传,不称职地代表 "
3177,preternatural,"a.超自然的,异常的,奇异的 "
3178,erudite,a.博学的n.博学者 
3179,cosmopolitan,"a.⑴世界主义的,四海为家的⑵世界性的,国际的 "
3180,disclosure,"n.发觉,败露,败露的事情 "
3181,resolve,"n.决定之事,决心vi.决定vt.使分解,决心,解决 "
3182,supercilious,"a.傲慢的,自大的,目空一切的 "
3183,disenchant,vt.使清醒 
3184,enchant,"vt.施魔法,使迷惑 "
3185,cultivate,"vt.培养,耕作 "
3186,agitate,"vt.使摇动,骚动vi.鼓动 "
3187,juxtaposition,"n.并排,并置,并列 "
3188,supplication,"n.恳求,哀求,祈愿 "
3189,harmonic,"a.调和的,音乐般的,和声的n.和音,调波 "
3190,insolvent,"a.无力偿还的,破产的n.无力还偿者,破产者 "
3191,depict,"vt.描述,描写 "
3192,reflective,"a.反射的,反映的,熟虑的 "
3193,combat,"n.争斗,战斗vi.奋斗,争斗vt.反对 "
3194,jingle,"n.叮当声v.(使)作叮当声,(使)押韵 "
3195,preventable,"a.可阻止的,可防止的,可预防的 "
3196,hedonistic,"a.快乐主义者的,快乐论的,快乐主义的 "
3197,transient,"n.暂态,短期居留者,侯鸟a.短暂的,易变的 "
3198,anomaly,"n.不规则,异常的人或物 "
3199,professional,"n.专业人才a.专业的,职业的 "
3200,prompt,"n.提示,付款期限a.迅速的vt.激励,鼓动 "
3201,mercenary,"n.雇来的人,佣兵a.被雇的,图利的 "
3202,obfuscation,"n.昏迷,困惑 "
3203,cleanse,"vt.使清洁,净化,使纯洁 "
3204,unavoidable,"a.不可避免的,不得已的,不能作废的 "
3205,encounter,"n.相会,相遇,遭遇vt.遇见,邂逅,会战vi.偶然相遇 "
3206,gluttonous,"a.暴食的,贪吃的,饕餮的 "
3207,idealist,"n.理想主义者,唯心主义者a.唯心的,理想主义的 "
3208,disparate,"a.不同的,全异的,乖离的n.无法相比的东西 "
3209,whimsicality,"n.心情浮动,奇异,奇特行为 "
3210,standard,"n.标准,规格,本位,旗a.标准的,本位的,合规格的 "
3211,drench,"vt.使湿透,使充满n.雨淋,弄湿 "
3212,champion,"n.冠军,拥护者,战士vt.保卫,拥护a.优胜的 "
3213,shopworn,a.陈旧的 
3214,austerity,"n.朴素,节俭,苦行,酸涩,严峻 "
3215,perennial,"a.四季不断的,继续多年的 "
3216,exempt,"n.免税者,被免除义务者a.免除的vt.豁免 "
3217,trivialize,"vt.使平凡,使琐碎 "
3218,cordial,"n.兴奋剂,补品a.热忱的,诚恳的,兴奋的 "
3219,biologist,n.生物学家 
3220,stifle,"vt.使不能呼吸,窒息,抑制vi.窒息,闷死 "
3221,pervasive,"a.普遍的,蔓延的,渗透的 "
3222,facetious,"a.滑稽的,爱开玩笑的 "
3223,adaptable,"a.能适应的,可修改的 "
3224,camouflage,"vt.伪装,欺瞒n.伪装,隐瞒,幌子 "
3225,suffrage,"n.投票,选举权,参政权,代祷 "
3226,anarchist,n.无政府主义者 
3227,hallmark,"n.纯度检验证明,品质证明vt.加盖检验证明 "
3228,diversion,n.转移 
3229,symptomatic,"a.具有征候的,症状的,根据征候的 "
3230,metropolis,"n.大都市,重要中心,首府 "
3231,display,"n.显示,陈列,炫耀vt.显示,夸示n.显示器v.显示 "
3232,consonance,"n.一致,调和,和音 "
3233,mannered,"a.守规矩的,矫饰的 "
3234,analogous,"a.类似的,相似的 "
3235,instinctive,"a.本能的,天生的,直觉的 "
3236,cumulative,a.累积的 
3237,passion,"n.热爱,强烈的感情,热情,耶稣的受难 "
3238,legitimacy,"n.合法,适法,正当 "
3239,forgo,"vt.摒绝,放弃 "
3240,patronage,"n.赞助,光顾,任免权,保护人的身份 "
3241,querulous,"a.鸣不平的,发牢骚的,易怒的 "
3242,miser,"n.守财奴,吝啬鬼,凿井机 "
3243,mimic,"a.模仿的,假装的,拟态的n.小丑,仿制品vt.模仿 "
3244,pragmatism,n.实用主义 
3245,concur,"vi.意见相同,一致,互助 "
3246,ascetic,"n.禁欲者,修道者a.修道的,苦己的,苦行 "
3247,ubiquitous,"a.到处存在的,遍在的 "
3248,discard,"vt.丢弃,抛弃,解雇vi.垫牌,抛弃 "
3249,secretive,"a.秘密的,偷偷摸摸的,分泌的 "
3250,rationalism,"n.合理主义,理性论,纯理论 "
3251,reluctant,"a.不情愿的,勉强的,厌恶的 "
3252,visionary,"a.幻影的,幻想的,梦想的n.空想家,梦想者 "
3253,condemnatory,"a.非难的,处罚的 "
3254,inappropriate,a.不适当的；不相称的 
3255,gullible,a.易受骗的 
3256,sensible,"a.有感觉的,有判断力的,明智的 "
3257,triumph,"n.凯旋,胜利,欢欣vi.得胜,成功 "
3258,insolent,"n.侮慢无乱的人a.粗野的,无礼的,侮慢的 "
3259,convivial,"a.酒宴的,欢宴的,欢乐的 "
3260,governmental,"a.政治的,统治上的,政府的 "
3261,tryst,"n.约会,幽会v.约会 "
3262,predetermine,"vt.预定,先决,预先决定做… "
3263,loathe,"vt.厌恶,憎恶 "
3264,nonplus,"vt.使困惑n.迷惑,困惑,尽头 "
3265,syllogism,"n.三段论法,推论法,演绎 "
3266,severe,"a.严格的,凶猛的,严肃的,朴素的,严厉的,严重的 "
3267,erroneous,"a.错误的,不正确的 "
3268,disjoint,"v.(使)脱节,(使)解体,(使)脱臼 "
3269,validity,"n.有效性,正确性 "
3270,servility,"n.奴态,卑屈 "
3271,grimy,"a.污秽的,肮脏的 "
3272,unsubstantiated,a.未经证实的 
3273,ungainly,"a.难看的,不像样的,丑陋的 "
3274,dehydrate,vt.(使)脱水 
3275,immobile,"a.不动的,不变的,固定的,静止的 "
3276,morose,"a.郁闷的,乖僻的 "
3277,diligent,"a.勤勉的,用功的 "
3278,empathetic,a.移情作用的；同感的（等于empathic） 
3279,reprehensible,"a.应斥责的,应该谴责的 "
3280,expediency,"n.权宜,方便,私利 "
3281,ameliorate,"vt.改善,改良,变好 "
3282,disrupt,"a.分裂的,分散的vt.使分裂,使瓦解 "
3283,imbue,"vt.使感染,使蒙受,鼓吹 "
3284,concordance,"n.调和,一致,用语索引 "
3285,frustration,"n.打破,挫折,顿挫 "
3286,forego,"vt.放弃,在…之前,居先 "
3287,counterproductive,"a.反效果的,招致反效果的 "
3288,privacy,"n.隐私,隐居,秘密 "
3289,flounder,"vi.挣扎,挣扎着前进n.挣扎,焦躁,辗转,比目鱼 "
3290,naturalistic,"a.自然的,自然主义的,博物学的 "
3291,parochial,"a.教区的,地方性的,狭小的 "
3292,offset,"n.抵消,支派,旁支vt.弥补,抵消 "
3293,revisit,"vt.再访,重游,重临n.再访问 "
3294,insignificant,"a.无关紧要的,无意义的,琐碎的 "
3295,instrumental,"a.仪器的,器具的,可作为手段的 "
3296,incantatory,a.咒语的;魔咒的 
3297,spectacle,"n.值得看的东西,光景,公开展示,场面 "
3298,acrid,"a.苦味的,辛辣的,尖刻的 "
3299,fertilize,"vt.施肥,使丰饶,使受精 "
3300,derivative,"a.引出的,系出的n.引出之物,系出物,衍生字 "
3301,consumption,"n.消费,消费量,憔悴 "
3302,squander,"vt.浪费,使分散vi.浪费,漂泊,四散 "
3303,intuitive,a.直觉的 
3304,cheapen,"v.减价,跌价 "
3305,seditious,"a.煽动性的,妨害治安的 "
3306,parody,"n.打油诗文,诙谐的改编诗文,拙劣的模仿 "
3307,famish,"vt.使挨饿vi.饥饿,挨饿 "
3308,lengthy,"a.冗长的,漫长的 "
3309,approximate,"a.大约的,近似的vt.接近,约等于vi.近于 "
3310,propitiatory,"a.安抚的,抚慰的;劝解的,取悦的,和解的 "
3311,dilettante,"n.业余爱好者a.外行的,浅薄的 "
3312,diatribe,"n.恶骂,诽谤 "
3313,dissembler,"n.伪君子,伪善者 "
3314,condense,"vt.使浓缩,摘要,缩短vi.浓缩,凝结 "
3315,baroque,"n.巴洛克时期,巴洛克式a.巴洛克式的,怪异的 "
3316,cynical,"a.愤世嫉俗的,讽刺的,冷嘲的 "
3317,alleviate,"vt.减轻,使缓和 "
3318,subsist,"vt.供给食物,供养vi.生存,存在 "
3319,refract,"vt.使折射,测定…的折射度 "
3320,salvage,"n.海上救助,抢救,打捞vt.抢救,打捞,营救 "
3321,provocative,"a.气人的,挑拨的,刺激的n.刺激物,兴奋剂 "
3322,gratuitous,"a.免费的,无理由的 "
3323,redundant,"a.多余的,过多的,冗长的 "
3324,negligent,"a.疏忽的,粗心的,不在意的 "
3325,soporific,"a.催眠的,想睡的n.催眠剂,安眠药 "
3326,praiseworthy,"a.值得称赞的,令人钦佩的,可钦佩的 "
3327,elevate,"vt.举起,提拔,鼓舞 "
3328,vindication,"n.辩护,拥护,辩明 "
3329,disguise,"n.假面目,假装vt.假装,隐瞒 "
3330,diminutive,"a.小的,小型的,指小的n.爱称 "
3331,insistent,"a.坚持的,迫切的,显著的 "
3332,profiteer,"n.获暴利的人,奸商vi.获暴利,赚大钱 "
3333,brandish,"vt.挥,挥舞n.挥舞 "
3334,supple,"a.柔软的,逢迎的,顺从的vt.使柔软,使顺从 "
3335,insinuation,"n.暗示,暗讽 "
3336,loftiness,"n.高,高尚,崇高 "
3337,complacent,"a.满足的,自满的,得意的 "
3338,didactic,"a.⑴教训的,教诲的;说教的⑵好教诲的 "
3339,impudent,"a.鲁莽的,卑鄙的,厚颜无耻的 "
3340,haphazard,"n.偶然,偶然事件a.偶然的,随便的 "
3341,critic,"n.批评家,鉴定家 "
3342,compatible,"a.能共处的,可并立的,适合的 "
3343,obsolete,"a.荒废的,陈旧的n.废词,废物 "
3344,missive,"n.公文,书信a.送出的 "
3345,circuitous,"a.迂回的路的,迂曲的,绕行的 "
3346,timeless,"a.无时间限制的,长期的,永恒的 "
3347,dispersal,"n.散布,传播,分散 "
3348,compendious,"a.扼要的,简明的 "
3349,intrude,"vi.闯入,侵入vt.强挤入 "
3350,burgeon,"n.芽,嫩枝vi.vt.萌芽,发芽 "
3351,compatibility,n.兼容性 
3352,query,"n.疑问,疑问号,质问v.询问,质问n.查询 "
3353,imperceptive,a.无感觉的;缺乏觉察力的 
3354,denial,n.否认 
3355,observable,"a.⑴可观察的,可识别的⑵该注意的,该遵守的 "
3356,immoderate,"a.无节制的,过度的,不合理的,过分的 "
3357,astute,"a.机敏的,狡猾的 "
3358,consort,"n.配偶,夫妻vi.陪伴,结交,符合vt.使配对 "
3359,pomp,"n.壮丽,盛观,夸耀 "
3360,slipshod,"a.破烂的,马虎的,潦草的 "
3361,renew,"vt.使更新,复始,修补,补充,继续,续借 "
3362,vibrant,"a.振动的,战栗的,响亮的,活跃的 "
3363,obnoxious,"a.可憎的,不愉快的,讨厌的 "
3364,bland,"a.温和的,乏味的,冷漠的 "
3365,raiment,n.衣服 
3366,deficient,"a.不足的,不充分的,有缺陷的 "
3367,substantiate,"vt.使实体化,证实 "
3368,indomitable,"a.不屈服的,不屈不挠的 "
3369,moribund,a.垂死的n.垂死的人 
3370,speculation,"n.沉思,推测,投机 "
3371,tyrannical,"a.暴虐的,压制的,残暴的 "
3372,bequeath,"vt.遗赠,遗留 "
3373,sensational,"a.使人感动的,非常好的 "
3374,scorn,"n.轻蔑,藐视,嘲笑,被叱责的人vt.不屑做 "
3375,accidental,"a.意外的,偶然的n.非本质属性 "
3376,melodious,"a.旋律美妙的,调子优美的,音乐性的 "
3377,captivate,"vt.迷住,迷惑 "
3378,inverse,"a.倒转的,相反的n.反白,反色 "
3379,wasteful,"a.浪费的,不经济的 "
3380,commendable,"a.值得赞美,很好的,可钦佩的 "
3381,prospectus,"n.创立计划书,内容说明书,样张 "
3382,virtuosity,"n.美术兴趣,爱好古董,鉴定眼光 "
3383,brevity,"n.短暂,简短 "
3384,disposable,a.可任意使用的 
3385,nonsensical,"a.无意义的,荒谬的 "
3386,skeptic,"n.怀疑者,怀疑论者,无神论者 "
3387,amalgamate,"v.使与汞混合,合并 "
3388,esteem,"n.尊敬,尊重vt.尊敬,尊重,认为 "
3389,egregious,"a.恶名昭彰的,过分的,惊人的 "
3390,publicity,"n.公开,名声,宣传 "
3391,serene,"a.宁静的,沉着的,安详的,晴朗的n.晴朗,平静 "
3392,solitary,"n.独居者a.孤独的,独居的 "
3393,aroma,"n.浓香,香气 "
3394,enact,"vt.制定法律,扮演,颁布 "
3395,extinction,"n.消失,消灭,废止 "
3396,affable,"a.和蔼可亲的,友善的,殷勤的 "
3397,dissension,"n.意见不合,纠纷,倾轧 "
3398,agile,"a.敏捷的,灵活的,轻快的 "
3399,extemporaneou,"a.无准备的,即席的,临时的 "
3400,prediction,"n.预言,预报 "
3401,potentate,"n.有权的人,有势力的人,统治者 "
3402,distort,"vt.扭曲,歪曲 "
3403,spawn,"n.卵,鱼卵vt.产卵,酿成vi.产卵 "
3404,unyielding,a.不屈的 
3405,correlation,"n.相互关系,相关,关联 "
3406,indulgence,"n.沉溺,放纵,嗜好 "
3407,formulaic,"a.公式[套语]的,由公式构成的 "
3408,servile,"a.奴隶的,奴隶根性的,卑屈的 "
3409,excursion,"n.远足,游览,短程旅行 "
3410,rancorous,"a.深恨的,怀恶意的 "
3411,humility,"n.谦逊,谦虚,谦卑 "
3412,uneven,"a.不平均的,不均匀的,奇数的 "
3413,totalitarian,a.极权主义的n.极权主义者 
3414,invocation,"n.祈祷,符咒 "
3415,oversight,"n.勘漏,失察,失败 "
3416,negligence,"n.疏忽,粗心大意,忽视 "
3417,debilitate,vt.使衰弱 
3418,diffident,"a.无自信的,客客气气的,羞怯的 "
3419,diminish,"v.(使)减少,(使)变小 "
3420,squelch,n.使对手哑口无言的辩论vt.镇压vi.涉水而过 
3421,conciliatory,"a.安抚的,怀柔的,融和的 "
3422,constructive,"a.建设性的,构造上的,作图的 "
3423,affluence,"n.富裕,富足,流入 "
3424,detachment,"n.分离,分遣,分遣队 "
3425,profusion,"n.大量,慷慨,浪费,充沛 "
3426,tumultuous,"a.吵闹的,纷乱的,骚乱的 "
3427,dilatory,a.拖拉的 
3428,admonition,"n.警告,劝告,训诫 "
3429,hamper,"n.食盒,食篮,阻碍物vt.阻碍,使困累,妨碍 "
3430,amass,"vt.收集,积聚 "
3431,delegate,n.代表vt.委派…为代表 
3432,synthesize,"v.综合,合成 "
3433,remuneration,n.报酬；酬劳，赔偿 
3434,meddle,"vi.干涉,干预,乱搞 "
3435,monarchical,a.(似)君主(国)的;君主制的 
3436,beguile,vt.诱骗 
3437,circumscribe,vt.限制；在…周围画线 
3438,contemptuous,"a.轻蔑的,侮辱的,瞧不起人的 "
3439,motley,"a.杂色的,斑杂的,混杂的n.杂色,杂色衣服,混杂,小丑 "
3440,artifice,"n.技巧,巧妙,诡计 "
3441,apathy,"n.缺乏感情或兴趣,冷漠 "
3442,totality,"n.全体,总数,全食 "
3443,exalt,"vt.提升,提高,赞扬,使得意vi.使人兴奋 "
3444,stickler,"n.⑴争执琐事的人,一丝不苟的人⑵)难题 "
3445,promulgate,"vt.发布,公布,发表,传播 "
3446,despondency,"n.失去勇气,失望 "
3447,reactive,"a.反动的,反应性的,反冲的 "
3448,appease,"vt.安抚,缓和,平息,满足 "
3449,floridity,"n.⑴鲜红,红润⑵华丽,华美;花俏刺目 "
3450,placate,"vt.抚慰,使和解,怀柔 "
3451,entrepreneur,"n.企业家,主办人 "
3452,novice,"n.新手,初学者 "
3453,precede,"vt.在…之前,优于,较…优先vi.在前面 "
3454,plasticity,"n.可塑性,适应性,柔软性 "
3455,meaning,"n.意义,含意,目的,意图a.意味深长的 "
3456,excavate,"v.挖,挖开,凿通 "
3457,purveyor,"n.承办商,承办商人,粮食征购商 "
3458,conspirator,"n.同谋者,阴谋者,反叛者 "
3459,liberality,"n.⑴(U)慷慨,不吝啬⑵宽大,大方;公平无私 "
3460,stabilization,"n.安定,安定化,稳定 "
3461,obstinate,"a.倔强的,顽固的 "
3462,unrealistic,"a.不切实际的,不实在的 "
3463,cognizant,"a.已认识,既知道,晓得 "
3464,lavishly,"ad.浪费地,丰富地 "
3465,intransigence,"n.不妥协,不合作(的态度),不让步 "
3466,perishable,a.易腐坏的；易毁灭的n.容易腐坏的东西 
3467,appall,"vt.使胆寒,使惊骇 "
3468,amalgam,"n.汞合金,汞齐 "
3469,inflammatory,"a.激动的,煽动的,炎症性的 "
3470,violently,"a.猛烈的,激烈的,极端的 "
3471,propitious,"a.顺利的,适合的,吉祥的,慈悲的 "
3472,affordable,a.提供得起的 
3473,amorphous,"a.无定形的,无组织的 "
3474,unbounded,"a.无边的,无限的,无限制的 "
3475,jocular,a.诙谐的 
3476,immoral,"a.不道德的,邪恶的 "
3477,impermeability,"n.不能渗透的性质或状态,不渗透性,不透过性 "
3478,worldly,"a.世间的,世俗的,世上的 "
3479,inimitable,"a.无法仿效的,独特的,无比的 "
3480,apt,"a.倾向于的,易于的,恰当的,聪明的 "
3481,flabbergast,"vt.使大吃一惊,哑然失色 "
3482,iconoclast,"n.偶像破坏者,提倡打破旧习的人 "
3483,devoid,"a.全无的,缺乏的 "
3484,inevitability,"n.无法逃避之事,不可逃避,必然性 "
3485,precursor,"n.先驱者,前导,先进者 "
3486,liability,"n.责任,债务,倾向 "
3487,forage,"n.粮草,饲料,搜寻粮草vt.掠夺,搜寻 "
3488,proximity,"n.接近,亲近 "
3489,fanfare,"n.喇叭或号角嘹亮的吹奏声,吹牛 "
3490,coalition,"n.结合,合并,联合 "
3491,disingenuous,a.不诚实的；不老实的；虚伪的；狡猾的 
3492,subvert,"vt.推翻,颠覆,毁灭 "
3493,unlimited,"a.无限的,不受限制的,无条件的 "
3494,lackadaisical,"a.懒洋洋的,愁闷的,感伤的 "
3495,sermonize,"v.说教,布道,说大道理与人听 "
3496,salvo,"n.保留条款,口实,保护手段,突然爆发,齐鸣 "
3497,inaccessibility,"n.难接近,难达到,难达成 "
3498,proof,"n.证据,证明,考验,检验,试验a.不能透入的 "
3499,misgiving,"n.不安,疑惑,忧虑,缺乏信心 "
3500,degradation,"n.降格,堕落,退化 "
3501,demolition,"n.破坏,毁坏,毁坏之遗迹 "
3502,indebted,"a.负债的,受惠的 "
3503,instantaneous,"a.即时的,瞬间的,同时发生的 "
3504,entangle,"vt.使纠缠,卷入,使混乱 "
3505,intemperate,"a.不节制的,过度的,饮酒过度的 "
3506,realign,"vt.使…重结盟,使…重看齐,使…再对齐 "
3507,monotonous,"a.单调的,无变化的 "
3508,inattention,"n.不注意,粗心,疏忽 "
3509,opinionated,a.固执己见的 
3510,denotation,"n.指示,表示,符号 "
3511,compel,"vt.强迫,迫使 "
3512,improbable,"a.未必然的,不像发生的,似不可信的 "
